院校名,类别,学科,等级,year,发布机构,source_url,公告页URL,fetched_at,raw_hash,parser_version
中国农业大学,双一流建设学科,农业工程,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
中国农业大学,双一流建设学科,食品科学与工程,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
中国农业大学,双一流建设学科,作物学,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
中国农业大学,双一流建设学科,农业资源与环境,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
中国农业大学,双一流建设学科,植物保护,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
中国农业大学,双一流建设学科,畜牧学,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
中国农业大学,双一流建设学科,兽医学,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
中国农业大学,双一流建设学科,草学,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
北京林业大学,双一流建设学科,风景园林学,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
北京林业大学,双一流建设学科,林学,,2022,教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,http://www.moe.gov.cn/srcsite/A22/s7065/202202/t20220211_598710.html,2026-06-05,305f73ed08c091984a75e3c29289c166fbaf6778b87fb9802afa176104c1f7ac,ingest-syl-1.0
